Date,Home,Away,Score,Round,Final,Home_Score,Away_Score,Winner
5/16/2021,Sporting KC,Vancouver,,Regular Season,FALSE,0,0,N/A
5/16/2021,FC Cincinnati,Miami,,Regular Season,FALSE,0,0,N/A
5/16/2021,New England,Columbus,,Regular Season,FALSE,0,0,N/A
5/16/2021,D.C. United,Orlando City,,Regular Season,FALSE,0,0,N/A
5/16/2021,Seattle,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
5/22/2021,CF Montréal,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
5/22/2021,Portland,LA Galaxy,,Regular Season,FALSE,0,0,N/A
5/22/2021,Chicago,Miami,,Regular Season,FALSE,0,0,N/A
5/22/2021,Orlando City,Toronto FC,,Regular Season,FALSE,0,0,N/A
5/22/2021,NYCFC,Columbus,,Regular Season,FALSE,0,0,N/A
5/22/2021,FC Dallas,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
5/22/2021,New England,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
5/22/2021,Houston,Vancouver,,Regular Season,FALSE,0,0,N/A
5/22/2021,San Jose,Sporting KC,,Regular Season,FALSE,0,0,N/A
5/22/2021,Los Angeles FC,Colorado,,Regular Season,FALSE,0,0,N/A
5/23/2021,Seattle,Atlanta,,Regular Season,FALSE,0,0,N/A
5/23/2021,D.C. United,Philadelphia,,Regular Season,FALSE,0,0,N/A
5/23/2021,Nashville,Austin FC,,Regular Season,FALSE,0,0,N/A
5/29/2021,Miami,D.C. United,,Regular Season,FALSE,0,0,N/A
5/29/2021,Chicago,CF Montréal,,Regular Season,FALSE,0,0,N/A
5/29/2021,NY Red Bulls,Orlando City,,Regular Season,FALSE,0,0,N/A
5/29/2021,FC Cincinnati,New England,,Regular Season,FALSE,0,0,N/A
5/29/2021,Columbus,Toronto FC,,Regular Season,FALSE,0,0,N/A
5/29/2021,Atlanta,Nashville,,Regular Season,FALSE,0,0,N/A
5/29/2021,Seattle,Austin FC,,Regular Season,FALSE,0,0,N/A
5/29/2021,Los Angeles FC,NYCFC,,Regular Season,FALSE,0,0,N/A
5/29/2021,LA Galaxy,San Jose,,Regular Season,FALSE,0,0,N/A
5/29/2021,Sporting KC,Houston,,Regular Season,FALSE,0,0,N/A
5/29/2021,Colorado,FC Dallas,,Regular Season,FALSE,0,0,N/A
5/29/2021,Real Salt Lake,Minnesota,,Regular Season,FALSE,0,0,N/A
5/30/2021,Philadelphia,Portland,,Regular Season,FALSE,0,0,N/A
6/18/2021,Real Salt Lake,Vancouver,,Regular Season,FALSE,0,0,N/A
6/19/2021,Columbus,Chicago,,Regular Season,FALSE,0,0,N/A
6/19/2021,Toronto FC,Orlando City,,Regular Season,FALSE,0,0,N/A
6/19/2021,FC Cincinnati,Colorado,,Regular Season,FALSE,0,0,N/A
6/20/2021,NY Red Bulls,Nashville,,Regular Season,FALSE,0,0,N/A
6/19/2021,D.C. United,Miami,,Regular Season,FALSE,0,0,N/A
6/19/2021,FC Dallas,Minnesota,,Regular Season,FALSE,0,0,N/A
6/19/2021,Austin FC,San Jose,,Regular Season,FALSE,0,0,N/A
6/19/2021,Portland,Sporting KC,,Regular Season,FALSE,0,0,N/A
6/19/2021,LA Galaxy,Seattle,,Regular Season,FALSE,0,0,N/A
6/19/2021,Los Angeles FC,Houston,,Regular Season,FALSE,0,0,N/A
6/20/2021,Atlanta,Philadelphia,,Regular Season,FALSE,0,0,N/A
6/20/2021,NYCFC,New England,,Regular Season,FALSE,0,0,N/A
6/22/2021,Orlando City,San Jose,,Regular Season,FALSE,0,0,N/A
6/23/2021,New England,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
6/23/2021,Philadelphia,Columbus,,Regular Season,FALSE,0,0,N/A
6/24/2021,NYCFC,Atlanta,,Regular Season,FALSE,0,0,N/A
6/23/2021,Minnesota,Austin FC,,Regular Season,FALSE,0,0,N/A
6/23/2021,Chicago,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
6/23/2021,CF Montréal,D.C. United,,Regular Season,FALSE,0,0,N/A
6/23/2021,Houston,Portland,,Regular Season,FALSE,0,0,N/A
6/23/2021,Sporting KC,Colorado,,Regular Season,FALSE,0,0,N/A
6/23/2021,Nashville,Toronto FC,,Regular Season,FALSE,0,0,N/A
6/23/2021,Seattle,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
6/23/2021,Vancouver,LA Galaxy,,Regular Season,FALSE,0,0,N/A
6/23/2021,Los Angeles FC,FC Dallas,,Regular Season,FALSE,0,0,N/A
6/25/2021,Miami,Orlando City,,Regular Season,FALSE,0,0,N/A
6/26/2021,Sporting KC,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
6/26/2021,Toronto FC,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
6/26/2021,Real Salt Lake,Houston,,Regular Season,FALSE,0,0,N/A
6/26/2021,Chicago,Philadelphia,,Regular Season,FALSE,0,0,N/A
6/26/2021,Nashville,CF Montréal,,Regular Season,FALSE,0,0,N/A
6/26/2021,Seattle,Vancouver,,Regular Season,FALSE,0,0,N/A
6/26/2021,San Jose,LA Galaxy,,Regular Season,FALSE,0,0,N/A
6/26/2021,Portland,Minnesota,,Regular Season,FALSE,0,0,N/A
6/27/2021,Atlanta,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
6/27/2021,NYCFC,D.C. United,,Regular Season,FALSE,0,0,N/A
6/27/2021,Austin FC,Columbus,,Regular Season,FALSE,0,0,N/A
6/27/2021,FC Dallas,New England,,Regular Season,FALSE,0,0,N/A
7/3/2021,Columbus,New England,,Regular Season,FALSE,0,0,N/A
7/3/2021,D.C. United,Toronto FC,,Regular Season,FALSE,0,0,N/A
7/3/2021,CF Montréal,Miami,,Regular Season,FALSE,0,0,N/A
7/3/2021,Orlando City,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
7/3/2021,Chicago,Atlanta,,Regular Season,FALSE,0,0,N/A
7/3/2021,Minnesota,San Jose,,Regular Season,FALSE,0,0,N/A
7/3/2021,Houston,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
7/3/2021,Real Salt Lake,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
7/3/2021,Austin FC,Portland,,Regular Season,FALSE,0,0,N/A
7/4/2021,FC Dallas,Vancouver,,Regular Season,FALSE,0,0,N/A
7/4/2021,Colorado,Seattle,,Regular Season,FALSE,0,0,N/A
7/4/2021,LA Galaxy,Sporting KC,,Regular Season,FALSE,0,0,N/A
7/5/2021,Nashville,Philadelphia,,Regular Season,FALSE,0,0,N/A
7/7/2021,New England,Toronto FC,,Regular Season,FALSE,0,0,N/A
7/7/2021,CF Montréal,NYCFC,,Regular Season,FALSE,0,0,N/A
7/7/2021,FC Cincinnati,Columbus,,Regular Season,FALSE,0,0,N/A
7/8/2021,NY Red Bulls,Philadelphia,,Regular Season,FALSE,0,0,N/A
7/7/2021,Chicago,Orlando City,,Regular Season,FALSE,0,0,N/A
7/7/2021,Seattle,Houston,,Regular Season,FALSE,0,0,N/A
7/7/2021,Colorado,Minnesota,,Regular Season,FALSE,0,0,N/A
7/7/2021,Austin FC,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
7/7/2021,Vancouver,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
7/7/2021,LA Galaxy,FC Dallas,,Regular Season,FALSE,0,0,N/A
7/8/2021,Nashville,Atlanta,,Regular Season,FALSE,0,0,N/A
7/17/2021,Atlanta,New England,,Regular Season,FALSE,0,0,N/A
7/17/2021,NY Red Bulls,Miami,,Regular Season,FALSE,0,0,N/A
7/17/2021,Columbus,NYCFC,,Regular Season,FALSE,0,0,N/A
7/17/2021,Philadelphia,D.C. United,,Regular Season,FALSE,0,0,N/A
7/17/2021,CF Montréal,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
7/17/2021,Toronto FC,Orlando City,,Regular Season,FALSE,0,0,N/A
7/17/2021,Sporting KC,Austin FC,,Regular Season,FALSE,0,0,N/A
7/17/2021,Nashville,Chicago,,Regular Season,FALSE,0,0,N/A
7/17/2021,Colorado,San Jose,,Regular Season,FALSE,0,0,N/A
7/17/2021,Vancouver,LA Galaxy,,Regular Season,FALSE,0,0,N/A
7/17/2021,Los Angeles FC,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
7/17/2021,Portland,FC Dallas,,Regular Season,FALSE,0,0,N/A
7/18/2021,Minnesota,Seattle,,Regular Season,FALSE,0,0,N/A
7/21/2021,Miami,New England,,Regular Season,FALSE,0,0,N/A
7/21/2021,FC Cincinnati,Atlanta,,Regular Season,FALSE,0,0,N/A
7/21/2021,Toronto FC,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
7/21/2021,Columbus,Nashville,,Regular Season,FALSE,0,0,N/A
7/22/2021,NYCFC,CF Montréal,,Regular Season,FALSE,0,0,N/A
7/21/2021,Chicago,D.C. United,,Regular Season,FALSE,0,0,N/A
7/21/2021,Sporting KC,San Jose,,Regular Season,FALSE,0,0,N/A
7/21/2021,Colorado,FC Dallas,,Regular Season,FALSE,0,0,N/A
7/21/2021,Vancouver,Houston,,Regular Season,FALSE,0,0,N/A
7/21/2021,Real Salt Lake,LA Galaxy,,Regular Season,FALSE,0,0,N/A
7/21/2021,Portland,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
7/22/2021,Orlando City,Philadelphia,,Regular Season,FALSE,0,0,N/A
7/22/2021,Austin FC,Seattle,,Regular Season,FALSE,0,0,N/A
7/24/2021,Atlanta,Columbus,,Regular Season,FALSE,0,0,N/A
7/25/2021,Miami,Philadelphia,,Regular Season,FALSE,0,0,N/A
7/24/2021,Chicago,Toronto FC,,Regular Season,FALSE,0,0,N/A
7/24/2021,Minnesota,Portland,,Regular Season,FALSE,0,0,N/A
7/24/2021,Nashville,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
7/24/2021,FC Dallas,LA Galaxy,,Regular Season,FALSE,0,0,N/A
7/24/2021,San Jose,Houston,,Regular Season,FALSE,0,0,N/A
7/24/2021,Real Salt Lake,Colorado,,Regular Season,FALSE,0,0,N/A
7/24/2021,Los Angeles FC,Vancouver,,Regular Season,FALSE,0,0,N/A
7/25/2021,NYCFC,Orlando City,,Regular Season,FALSE,0,0,N/A
7/25/2021,New England,CF Montréal,,Regular Season,FALSE,0,0,N/A
7/25/2021,D.C. United,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
7/25/2021,Seattle,Sporting KC,,Regular Season,FALSE,0,0,N/A
7/28/2021,Vancouver,Austin FC,,Regular Season,FALSE,0,0,N/A
7/28/2021,Los Angeles FC,Minnesota,,Regular Season,FALSE,0,0,N/A
7/30/2021,NYCFC,Columbus,,Regular Season,FALSE,0,0,N/A
7/31/2021,Miami,CF Montréal,,Regular Season,FALSE,0,0,N/A
7/30/2021,Orlando City,Atlanta,,Regular Season,FALSE,0,0,N/A
7/30/2021,LA Galaxy,Portland,,Regular Season,FALSE,0,0,N/A
7/31/2021,NY Red Bulls,New England,,Regular Season,FALSE,0,0,N/A
7/31/2021,FC Cincinnati,D.C. United,,Regular Season,FALSE,0,0,N/A
8/1/2021,Seattle,San Jose,,Regular Season,FALSE,0,0,N/A
7/31/2021,Sporting KC,FC Dallas,,Regular Season,FALSE,0,0,N/A
7/31/2021,Houston,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
7/31/2021,Austin FC,Colorado,,Regular Season,FALSE,0,0,N/A
7/31/2021,Vancouver,Minnesota,,Regular Season,FALSE,0,0,N/A
8/1/2021,Philadelphia,Chicago,,Regular Season,FALSE,0,0,N/A
8/1/2021,Toronto FC,Nashville,,Regular Season,FALSE,0,0,N/A
8/4/2021,NY Red Bulls,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
8/4/2021,New England,Nashville,,Regular Season,FALSE,0,0,N/A
8/4/2021,Orlando City,Miami,,Regular Season,FALSE,0,0,N/A
8/4/2021,Columbus,D.C. United,,Regular Season,FALSE,0,0,N/A
8/4/2021,Philadelphia,Toronto FC,,Regular Season,FALSE,0,0,N/A
8/4/2021,CF Montréal,Atlanta,,Regular Season,FALSE,0,0,N/A
8/4/2021,Chicago,NYCFC,,Regular Season,FALSE,0,0,N/A
8/4/2021,Minnesota,Colorado,,Regular Season,FALSE,0,0,N/A
8/4/2021,Austin FC,Houston,,Regular Season,FALSE,0,0,N/A
8/4/2021,Seattle,FC Dallas,,Regular Season,FALSE,0,0,N/A
8/4/2021,Portland,San Jose,,Regular Season,FALSE,0,0,N/A
8/4/2021,Los Angeles FC,Sporting KC,,Regular Season,FALSE,0,0,N/A
8/4/2021,LA Galaxy,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
8/7/2021,FC Cincinnati,Orlando City,,Regular Season,FALSE,0,0,N/A
8/7/2021,Columbus,Atlanta,,Regular Season,FALSE,0,0,N/A
8/8/2021,Miami,Nashville,,Regular Season,FALSE,0,0,N/A
8/7/2021,Minnesota,Houston,,Regular Season,FALSE,0,0,N/A
8/7/2021,Toronto FC,NYCFC,,Regular Season,FALSE,0,0,N/A
8/7/2021,FC Dallas,Austin FC,,Regular Season,FALSE,0,0,N/A
8/7/2021,Colorado,Sporting KC,,Regular Season,FALSE,0,0,N/A
8/7/2021,Portland,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
8/8/2021,Chicago,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
8/8/2021,New England,Philadelphia,,Regular Season,FALSE,0,0,N/A
8/8/2021,San Jose,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
8/8/2021,LA Galaxy,Vancouver,,Regular Season,FALSE,0,0,N/A
8/8/2021,D.C. United,CF Montréal,,Regular Season,FALSE,0,0,N/A
8/13/2021,San Jose,Vancouver,,Regular Season,FALSE,0,0,N/A
8/14/2021,NYCFC,Miami,,Regular Season,FALSE,0,0,N/A
8/14/2021,Minnesota,LA Galaxy,,Regular Season,FALSE,0,0,N/A
8/14/2021,Chicago,Columbus,,Regular Season,FALSE,0,0,N/A
8/14/2021,CF Montréal,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
8/14/2021,FC Cincinnati,Philadelphia,,Regular Season,FALSE,0,0,N/A
8/14/2021,Toronto FC,New England,,Regular Season,FALSE,0,0,N/A
8/14/2021,FC Dallas,Sporting KC,,Regular Season,FALSE,0,0,N/A
8/14/2021,Houston,Colorado,,Regular Season,FALSE,0,0,N/A
8/14/2021,Real Salt Lake,Austin FC,,Regular Season,FALSE,0,0,N/A
8/15/2021,Atlanta,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
8/15/2021,Nashville,D.C. United,,Regular Season,FALSE,0,0,N/A
8/15/2021,Portland,Seattle,,Regular Season,FALSE,0,0,N/A
8/18/2021,Miami,Chicago,,Regular Season,FALSE,0,0,N/A
8/18/2021,NY Red Bulls,Columbus,,Regular Season,FALSE,0,0,N/A
8/17/2021,LA Galaxy,Colorado,,Regular Season,FALSE,0,0,N/A
8/17/2021,San Jose,Minnesota,,Regular Season,FALSE,0,0,N/A
8/18/2021,New England,D.C. United,,Regular Season,FALSE,0,0,N/A
8/18/2021,Atlanta,Toronto FC,,Regular Season,FALSE,0,0,N/A
8/18/2021,FC Cincinnati,CF Montréal,,Regular Season,FALSE,0,0,N/A
8/18/2021,Philadelphia,NYCFC,,Regular Season,FALSE,0,0,N/A
8/18/2021,Nashville,Orlando City,,Regular Season,FALSE,0,0,N/A
8/18/2021,FC Dallas,Seattle,,Regular Season,FALSE,0,0,N/A
8/18/2021,Sporting KC,Portland,,Regular Season,FALSE,0,0,N/A
8/18/2021,Austin FC,Vancouver,,Regular Season,FALSE,0,0,N/A
8/18/2021,Real Salt Lake,Houston,,Regular Season,FALSE,0,0,N/A
8/21/2021,Miami,Toronto FC,,Regular Season,FALSE,0,0,N/A
8/20/2021,LA Galaxy,San Jose,,Regular Season,FALSE,0,0,N/A
8/21/2021,Minnesota,Sporting KC,,Regular Season,FALSE,0,0,N/A
8/21/2021,Columbus,Seattle,,Regular Season,FALSE,0,0,N/A
8/21/2021,Orlando City,Chicago,,Regular Season,FALSE,0,0,N/A
8/21/2021,Philadelphia,CF Montréal,,Regular Season,FALSE,0,0,N/A
8/21/2021,New England,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
8/21/2021,D.C. United,Atlanta,,Regular Season,FALSE,0,0,N/A
8/21/2021,NY Red Bulls,NYCFC,,Regular Season,FALSE,0,0,N/A
8/21/2021,Houston,FC Dallas,,Regular Season,FALSE,0,0,N/A
8/21/2021,Colorado,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
8/21/2021,Austin FC,Portland,,Regular Season,FALSE,0,0,N/A
8/21/2021,Vancouver,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
8/27/2021,Columbus,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
8/27/2021,CF Montréal,Toronto FC,,Regular Season,FALSE,0,0,N/A
8/27/2021,Orlando City,Miami,,Regular Season,FALSE,0,0,N/A
8/28/2021,Atlanta,Nashville,,Regular Season,FALSE,0,0,N/A
8/28/2021,NY Red Bulls,Chicago,,Regular Season,FALSE,0,0,N/A
8/28/2021,NYCFC,New England,,Regular Season,FALSE,0,0,N/A
8/28/2021,Los Angeles FC,LA Galaxy,,Regular Season,FALSE,0,0,N/A
8/28/2021,D.C. United,Philadelphia,,Regular Season,FALSE,0,0,N/A
8/28/2021,Sporting KC,Colorado,,Regular Season,FALSE,0,0,N/A
8/28/2021,Houston,Minnesota,,Regular Season,FALSE,0,0,N/A
8/28/2021,Vancouver,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
8/29/2021,Austin FC,FC Dallas,,Regular Season,FALSE,0,0,N/A
8/29/2021,Seattle,Portland,,Regular Season,FALSE,0,0,N/A
9/3/2021,Houston,Portland,,Regular Season,FALSE,0,0,N/A
9/3/2021,Los Angeles FC,Sporting KC,,Regular Season,FALSE,0,0,N/A
9/4/2021,FC Cincinnati,Miami,,Regular Season,FALSE,0,0,N/A
9/4/2021,Orlando City,Columbus,,Regular Season,FALSE,0,0,N/A
9/4/2021,Real Salt Lake,FC Dallas,,Regular Season,FALSE,0,0,N/A
9/4/2021,Nashville,NYCFC,,Regular Season,FALSE,0,0,N/A
9/4/2021,San Jose,Colorado,,Regular Season,FALSE,0,0,N/A
9/10/2021,Atlanta,Orlando City,,Regular Season,FALSE,0,0,N/A
9/11/2021,Miami,Columbus,,Regular Season,FALSE,0,0,N/A
9/10/2021,Vancouver,Portland,,Regular Season,FALSE,0,0,N/A
9/11/2021,Colorado,LA Galaxy,,Regular Season,FALSE,0,0,N/A
9/11/2021,Seattle,Minnesota,,Regular Season,FALSE,0,0,N/A
9/11/2021,NY Red Bulls,D.C. United,,Regular Season,FALSE,0,0,N/A
9/11/2021,New England,NYCFC,,Regular Season,FALSE,0,0,N/A
9/11/2021,FC Cincinnati,Toronto FC,,Regular Season,FALSE,0,0,N/A
9/11/2021,FC Dallas,San Jose,,Regular Season,FALSE,0,0,N/A
9/11/2021,Houston,Austin FC,,Regular Season,FALSE,0,0,N/A
9/11/2021,Sporting KC,Chicago,,Regular Season,FALSE,0,0,N/A
9/12/2021,CF Montréal,Nashville,,Regular Season,FALSE,0,0,N/A
9/12/2021,Los Angeles FC,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
9/14/2021,NYCFC,FC Dallas,,Regular Season,FALSE,0,0,N/A
9/14/2021,Toronto FC,Miami,,Regular Season,FALSE,0,0,N/A
9/14/2021,Columbus,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
9/15/2021,Atlanta,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
9/15/2021,Orlando City,CF Montréal,,Regular Season,FALSE,0,0,N/A
9/15/2021,Philadelphia,New England,,Regular Season,FALSE,0,0,N/A
9/15/2021,D.C. United,Chicago,,Regular Season,FALSE,0,0,N/A
9/15/2021,Sporting KC,Minnesota,,Regular Season,FALSE,0,0,N/A
9/15/2021,Austin FC,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
9/15/2021,Seattle,Vancouver,,Regular Season,FALSE,0,0,N/A
9/15/2021,Portland,Colorado,,Regular Season,FALSE,0,0,N/A
9/15/2021,LA Galaxy,Houston,,Regular Season,FALSE,0,0,N/A
9/15/2021,San Jose,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
9/17/2021,Miami,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
9/18/2021,Atlanta,D.C. United,,Regular Season,FALSE,0,0,N/A
9/18/2021,New England,Columbus,,Regular Season,FALSE,0,0,N/A
9/18/2021,FC Cincinnati,NYCFC,,Regular Season,FALSE,0,0,N/A
9/18/2021,Toronto FC,Nashville,,Regular Season,FALSE,0,0,N/A
9/18/2021,Minnesota,LA Galaxy,,Regular Season,FALSE,0,0,N/A
9/18/2021,Houston,FC Dallas,,Regular Season,FALSE,0,0,N/A
9/18/2021,Austin FC,San Jose,,Regular Season,FALSE,0,0,N/A
9/18/2021,Real Salt Lake,Seattle,,Regular Season,FALSE,0,0,N/A
9/19/2021,CF Montréal,Chicago,,Regular Season,FALSE,0,0,N/A
9/19/2021,Philadelphia,Orlando City,,Regular Season,FALSE,0,0,N/A
9/19/2021,Portland,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
9/19/2021,Colorado,Vancouver,,Regular Season,FALSE,0,0,N/A
9/22/2021,Miami,Nashville,,Regular Season,FALSE,0,0,N/A
9/25/2021,Philadelphia,Atlanta,,Regular Season,FALSE,0,0,N/A
9/25/2021,New England,Orlando City,,Regular Season,FALSE,0,0,N/A
9/25/2021,Columbus,CF Montréal,,Regular Season,FALSE,0,0,N/A
9/25/2021,D.C. United,FC Cincinnati,,Regular Season,FALSE,0,0,N/A
9/25/2021,NYCFC,NY Red Bulls,,Regular Season,FALSE,0,0,N/A
9/26/2021,Austin FC,LA Galaxy,,Regular Season,FALSE,0,0,N/A
9/25/2021,Colorado,Toronto FC,,Regular Season,FALSE,0,0,N/A
9/25/2021,Minnesota,Houston,,Regular Season,FALSE,0,0,N/A
9/25/2021,Vancouver,FC Dallas,,Regular Season,FALSE,0,0,N/A
9/25/2021,San Jose,Los Angeles FC,,Regular Season,FALSE,0,0,N/A
9/25/2021,Portland,Real Salt Lake,,Regular Season,FALSE,0,0,N/A
9/26/2021,Chicago,Nashville,,Regular Season,FALSE,0,0,N/A
9/26/2021,Sporting KC,Seattle,,Regular Season,FALSE,0,0,N/A
9/29/2021,NY Red Bulls,Philadelphia,,Regular Season,FALSE,0,0,N/A
