Date,Home_Wins,Away_Wins,Ties
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/17/2021,0,0,0
7/18/2021,0,0,0
7/21/2021,0,0,0
7/21/2021,0,0,0
7/21/2021,0,0,0
7/21/2021,0,0,0
7/22/2021,0,0,0
7/21/2021,0,0,0
7/21/2021,0,0,0
7/21/2021,0,0,0
7/21/2021,0,0,0
7/21/2021,0,0,0
7/21/2021,0,0,0
7/22/2021,0,0,0
7/22/2021,0,0,0
7/24/2021,0,0,0
7/25/2021,0,0,0
7/24/2021,0,0,0
7/24/2021,0,0,0
7/24/2021,0,0,0
7/24/2021,0,0,0
7/24/2021,0,0,0
7/24/2021,0,0,0
7/24/2021,0,0,0
7/25/2021,0,0,0
7/25/2021,0,0,0
7/25/2021,0,0,0
7/25/2021,0,0,0
7/28/2021,0,0,0
7/28/2021,0,0,0
7/30/2021,0,0,0
7/31/2021,0,0,0
7/30/2021,0,0,0
7/30/2021,0,0,0
7/31/2021,0,0,0
7/31/2021,0,0,0
8/1/2021,0,0,0
7/31/2021,0,0,0
7/31/2021,0,0,0
7/31/2021,0,0,0
7/31/2021,0,0,0
8/1/2021,0,0,0
8/1/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/4/2021,0,0,0
8/7/2021,0,0,0
8/7/2021,0,0,0
8/8/2021,0,0,0
8/7/2021,0,0,0
8/7/2021,0,0,0
8/7/2021,0,0,0
8/7/2021,0,0,0
8/7/2021,0,0,0
8/8/2021,0,0,0
8/8/2021,0,0,0
8/8/2021,0,0,0
8/8/2021,0,0,0
8/8/2021,0,0,0
8/13/2021,0,0,0
8/14/2021,0,0,0
8/14/2021,0,0,0
8/14/2021,0,0,0
8/14/2021,0,0,0
8/14/2021,0,0,0
8/14/2021,0,0,0
8/14/2021,0,0,0
8/14/2021,0,0,0
8/14/2021,0,0,0
8/15/2021,0,0,0
8/15/2021,0,0,0
8/15/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/17/2021,0,0,0
8/17/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/18/2021,0,0,0
8/21/2021,0,0,0
8/20/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/21/2021,0,0,0
8/27/2021,0,0,0
8/27/2021,0,0,0
8/27/2021,0,0,0
8/28/2021,0,0,0
8/28/2021,0,0,0
8/28/2021,0,0,0
8/28/2021,0,0,0
8/28/2021,0,0,0
8/28/2021,0,0,0
8/28/2021,0,0,0
8/28/2021,0,0,0
8/29/2021,0,0,0
8/29/2021,0,0,0
9/3/2021,0,0,0
9/3/2021,0,0,0
9/4/2021,0,0,0
9/4/2021,0,0,0
9/4/2021,0,0,0
9/4/2021,0,0,0
9/4/2021,0,0,0
9/10/2021,0,0,0
9/11/2021,0,0,0
9/10/2021,0,0,0
9/11/2021,0,0,0
9/11/2021,0,0,0
9/11/2021,0,0,0
9/11/2021,0,0,0
9/11/2021,0,0,0
9/11/2021,0,0,0
9/11/2021,0,0,0
9/11/2021,0,0,0
9/12/2021,0,0,0
9/12/2021,0,0,0
9/14/2021,0,0,0
9/14/2021,0,0,0
9/14/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/15/2021,0,0,0
9/17/2021,0,0,0
9/18/2021,0,0,0
9/18/2021,0,0,0
9/18/2021,0,0,0
9/18/2021,0,0,0
9/18/2021,0,0,0
9/18/2021,0,0,0
9/18/2021,0,0,0
9/18/2021,0,0,0
9/19/2021,0,0,0
9/19/2021,0,0,0
9/19/2021,0,0,0
9/19/2021,0,0,0
9/22/2021,0,0,0
9/25/2021,0,0,0
9/25/2021,0,0,0
9/25/2021,0,0,0
9/25/2021,0,0,0
9/25/2021,0,0,0
9/26/2021,0,0,0
9/25/2021,0,0,0
9/25/2021,0,0,0
9/25/2021,0,0,0
9/25/2021,0,0,0
9/25/2021,0,0,0
9/26/2021,0,0,0
9/26/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
9/29/2021,0,0,0
10/2/2021,0,0,0
10/2/2021,0,0,0
10/2/2021,0,0,0
10/2/2021,0,0,0
10/2/2021,0,0,0
10/3/2021,0,0,0
10/3/2021,0,0,0
10/2/2021,0,0,0
10/2/2021,0,0,0
10/3/2021,0,0,0
10/3/2021,0,0,0
10/3/2021,0,0,0
10/3/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/16/2021,0,0,0
10/17/2021,0,0,0
10/17/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/20/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/24/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/23/2021,0,0,0
10/24/2021,0,0,0
10/26/2021,0,0,0
10/27/2021,0,0,0
10/27/2021,0,0,0
10/27/2021,0,0,0
10/27/2021,0,0,0
10/27/2021,0,0,0
10/28/2021,0,0,0
10/27/2021,0,0,0
10/27/2021,0,0,0
10/27/2021,0,0,0
10/27/2021,0,0,0
10/27/2021,0,0,0
10/30/2021,0,0,0
10/30/2021,0,0,0
10/30/2021,0,0,0
10/30/2021,0,0,0
10/30/2021,0,0,0
10/31/2021,0,0,0
10/30/2021,0,0,0
10/30/2021,0,0,0
10/31/2021,0,0,0
10/31/2021,0,0,0
10/31/2021,0,0,0
11/1/2021,0,0,0
11/1/2021,0,0,0
11/3/2021,0,0,0
11/3/2021,0,0,0
11/3/2021,0,0,0
11/3/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/7/2021,0,0,0
11/8/2021,0,0,0
